episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
nan,nan,nan,nan,0,0,4,0,0,400,0,200,0,200,0,176.42837102460268,0.0,200,0,400,False,0,1,7581f_00000,2025-03-21_19-48-53,1742586533,1.1382033824920654,1.1382033824920654,2644,Jacob,127.0.0.1,1.1382033824920654,1,200,0,400,0,nan,nan,nan,nan,0,0,[],[],1133.605,316.411,200,0,400,0,17.8,89.15,[],[]
nan,nan,nan,nan,0,0,4,0,0,1600,0,800,0,600,0,521.7345441850013,0.0,800,0,1600,False,0,2,7581f_00000,2025-03-21_19-48-55,1742586535,1.1551477909088135,2.293351173400879,2644,Jacob,127.0.0.1,2.293351173400879,2,800,0,1600,0,nan,nan,nan,nan,0,0,[],[],570.904,319.27,800,0,1600,0,41.1,88.45,[],[]
nan,nan,nan,nan,0,0,4,0,0,2800,0,1400,0,600,0,527.8621767933249,0.0,1400,0,2800,False,0,3,7581f_00000,2025-03-21_19-48-56,1742586536,1.1366603374481201,3.430011510848999,2644,Jacob,127.0.0.1,3.430011510848999,3,1400,0,2800,0,nan,nan,nan,nan,0,0,[],[],488.611,319.445,1400,0,2800,0,52.4,88.7,[],[]
nan,nan,nan,nan,0,0,4,0,0,3600,512,1800,512,400,512,370.20923161114075,473.8678164622602,1800,512,3600,False,0,4,7581f_00000,2025-03-21_19-48-57,1742586537,1.0961127281188965,4.5261242389678955,2644,Jacob,127.0.0.1,4.5261242389678955,4,1800,512,3600,512,nan,nan,nan,nan,0,0,[],[],500.083,315.585,1800,512,3600,512,39.55,89.30000000000001,[],[]
3993.1459643824464,3657.8684429649375,3799.5858313372073,500.0,4,0,4,0,0,4400,1024,2200,1024,400,512,311.1054327317568,398.21495389664875,2200,512,4400,False,4,5,7581f_00000,2025-03-21_19-48-58,1742586538,1.305138111114502,5.8312623500823975,2644,Jacob,127.0.0.1,5.8312623500823975,5,2200,1024,4400,1024,3993.1459643824464,3657.8684429649375,3799.5858313372073,500.0,4,0,"[3881.799331224325, 3665.5295867771197, 3993.1459643824464, 3657.8684429649375]","[500, 500, 500, 500]",465.288,318.706,2200,1024,4400,1024,35.0,88.4,"[3881.799331224325, 3665.5295867771197, 3993.1459643824464, 3657.8684429649375]","[500, 500, 500, 500]"
3993.1459643824464,3657.8684429649375,3799.5858313372073,500.0,0,0,4,0,0,5200,1536,2600,1536,400,512,340.35047715804416,435.6486107622965,2600,512,5200,False,4,6,7581f_00000,2025-03-21_19-49-06,1742586546,1.1917779445648193,7.023040294647217,2644,Jacob,127.0.0.1,7.023040294647217,6,2600,1536,5200,1536,3993.1459643824464,3657.8684429649375,3799.5858313372073,500.0,0,0,"[3881.799331224325, 3665.5295867771197, 3993.1459643824464, 3657.8684429649375]","[500, 500, 500, 500]",505.009,318.64,2600,1536,5200,1536,25.84545454545454,89.61818181818182,"[3881.799331224325, 3665.5295867771197, 3993.1459643824464, 3657.8684429649375]","[500, 500, 500, 500]"
3993.1459643824464,3657.8684429649375,3799.5858313372073,500.0,0,0,4,0,0,6000,2048,3000,2048,400,512,333.36067423946184,426.70166302651114,3000,512,6000,False,4,7,7581f_00000,2025-03-21_19-49-07,1742586547,1.2168476581573486,8.239887952804565,2644,Jacob,127.0.0.1,8.239887952804565,7,3000,2048,6000,2048,3993.1459643824464,3657.8684429649375,3799.5858313372073,500.0,0,0,"[3881.799331224325, 3665.5295867771197, 3993.1459643824464, 3657.8684429649375]","[500, 500, 500, 500]",547.935,323.93,3000,2048,6000,2048,33.2,90.5,"[3881.799331224325, 3665.5295867771197, 3993.1459643824464, 3657.8684429649375]","[500, 500, 500, 500]"
3993.1459643824464,3657.8684429649375,3799.5858313372073,500.0,0,0,4,0,0,7200,2816,3600,2816,600,768,404.4802699168468,517.7347454935639,3600,768,7200,False,4,8,7581f_00000,2025-03-21_19-49-09,1742586549,1.525310754776001,9.765198707580566,2644,Jacob,127.0.0.1,9.765198707580566,8,3600,2816,7200,2816,3993.1459643824464,3657.8684429649375,3799.5858313372073,500.0,0,0,"[3881.799331224325, 3665.5295867771197, 3993.1459643824464, 3657.8684429649375]","[500, 500, 500, 500]",565.791,315.798,3600,2816,7200,2816,33.266666666666666,90.59999999999998,"[3881.799331224325, 3665.5295867771197, 3993.1459643824464, 3657.8684429649375]","[500, 500, 500, 500]"
3993.1459643824464,3657.8684429649375,3806.0049123370127,500.0,4,0,4,0,0,8400,3584,4200,3584,600,768,404.0033308113049,517.1242634384703,4200,768,8400,False,8,9,7581f_00000,2025-03-21_19-49-10,1742586550,1.5016357898712158,11.266834497451782,2644,Jacob,127.0.0.1,11.266834497451782,9,4200,3584,8400,3584,3993.1459643824464,3657.8684429649375,3806.0049123370127,500.0,4,0,"[3881.799331224325, 3665.5295867771197, 3993.1459643824464, 3657.8684429649375, 3729.0530748422343, 3866.1452261800823, 3872.9834541461682, 3781.5142181787855]","[500, 500, 500, 500, 500, 500, 500, 500]",534.368,303.114,4200,3584,8400,3584,29.25,90.5,"[3881.799331224325, 3665.5295867771197, 3993.1459643824464, 3657.8684429649375, 3729.0530748422343, 3866.1452261800823, 3872.9834541461682, 3781.5142181787855]","[500, 500, 500, 500, 500, 500, 500, 500]"
3993.1459643824464,3657.8684429649375,3806.0049123370127,500.0,0,0,4,0,0,9600,4352,4800,4352,600,768,387.0396336216542,495.4107310357174,4800,768,9600,False,8,10,7581f_00000,2025-03-21_19-49-12,1742586552,1.5665791034698486,12.83341360092163,2644,Jacob,127.0.0.1,12.83341360092163,10,4800,4352,9600,4352,3993.1459643824464,3657.8684429649375,3806.0049123370127,500.0,0,0,"[3881.799331224325, 3665.5295867771197, 3993.1459643824464, 3657.8684429649375, 3729.0530748422343, 3866.1452261800823, 3872.9834541461682, 3781.5142181787855]","[500, 500, 500, 500, 500, 500, 500, 500]",515.199,296.34,4800,4352,9600,4352,31.95,90.5,"[3881.799331224325, 3665.5295867771197, 3993.1459643824464, 3657.8684429649375, 3729.0530748422343, 3866.1452261800823, 3872.9834541461682, 3781.5142181787855]","[500, 500, 500, 500, 500, 500, 500, 500]"
