episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
nan,nan,nan,nan,0,0,4,0,0,400,0,200,0,200,0,177.75803773418582,0.0,200,0,400,False,0,1,46f72_00000,2025-03-21_21-06-14,1742591174,1.1332051753997803,1.1332051753997803,16608,Jacob,127.0.0.1,1.1332051753997803,1,200,0,400,0,nan,nan,nan,nan,0,0,[],[],1125.125,291.53,200,0,400,0,15.35,90.6,[],[]
nan,nan,nan,nan,0,0,4,0,0,1600,0,800,0,600,0,576.016831546515,0.0,800,0,1600,False,0,2,46f72_00000,2025-03-21_21-06-15,1742591175,1.0416362285614014,2.1748414039611816,16608,Jacob,127.0.0.1,2.1748414039611816,2,800,0,1600,0,nan,nan,nan,nan,0,0,[],[],541.69,287.405,800,0,1600,0,34.85,91.2,[],[]
nan,nan,nan,nan,0,0,4,0,0,3200,256,1600,256,800,256,521.6884427923296,166.94030169354548,1600,256,3200,False,0,3,46f72_00000,2025-03-21_21-06-16,1742591176,1.550058126449585,3.7248995304107666,16608,Jacob,127.0.0.1,3.7248995304107666,3,1600,256,3200,256,nan,nan,nan,nan,0,0,[],[],462.53,283.235,1600,256,3200,256,41.5,91.19999999999999,[],[]
3983.8981990545126,3686.56690283832,3817.156159122852,500.0,4,0,4,0,0,4000,768,2000,768,400,512,382.92431082728115,490.1431178589199,2000,512,4000,False,4,4,46f72_00000,2025-03-21_21-06-17,1742591177,1.0749404430389404,4.799839973449707,16608,Jacob,127.0.0.1,4.799839973449707,4,2000,768,4000,768,3983.8981990545126,3686.56690283832,3817.156159122852,500.0,4,0,"[3983.8981990545126, 3686.56690283832, 3719.414885013353, 3878.7446495852214]","[500, 500, 500, 500]",474.484,283.467,2000,768,4000,768,32.7,91.2,"[3983.8981990545126, 3686.56690283832, 3719.414885013353, 3878.7446495852214]","[500, 500, 500, 500]"
3983.8981990545126,3686.56690283832,3817.156159122852,500.0,0,0,4,0,0,4800,1280,2400,1280,400,512,308.91350459580485,395.40928588263023,2400,512,4800,False,4,5,46f72_00000,2025-03-21_21-06-19,1742591179,1.3043594360351562,6.104199409484863,16608,Jacob,127.0.0.1,6.104199409484863,5,2400,1280,4800,1280,3983.8981990545126,3686.56690283832,3817.156159122852,500.0,0,0,"[3983.8981990545126, 3686.56690283832, 3719.414885013353, 3878.7446495852214]","[500, 500, 500, 500]",456.484,287.465,2400,1280,4800,1280,35.45,91.8,"[3983.8981990545126, 3686.56690283832, 3719.414885013353, 3878.7446495852214]","[500, 500, 500, 500]"
3983.8981990545126,3686.56690283832,3817.156159122852,500.0,0,0,4,0,0,5600,1792,2800,1792,400,512,319.89066237125985,409.46004783521255,2800,512,5600,False,4,6,46f72_00000,2025-03-21_21-06-20,1742591180,1.2730309963226318,7.377230405807495,16608,Jacob,127.0.0.1,7.377230405807495,6,2800,1792,5600,1792,3983.8981990545126,3686.56690283832,3817.156159122852,500.0,0,0,"[3983.8981990545126, 3686.56690283832, 3719.414885013353, 3878.7446495852214]","[500, 500, 500, 500]",512.336,311.571,2800,1792,5600,1792,39.35,91.80000000000001,"[3983.8981990545126, 3686.56690283832, 3719.414885013353, 3878.7446495852214]","[500, 500, 500, 500]"
3983.8981990545126,3686.56690283832,3817.156159122852,500.0,0,0,4,0,0,6400,2304,3200,2304,400,512,383.0890411959842,490.3539727308597,3200,512,6400,False,4,7,46f72_00000,2025-03-21_21-06-21,1742591181,1.0582284927368164,8.435458898544312,16608,Jacob,127.0.0.1,8.435458898544312,7,3200,2304,6400,2304,3983.8981990545126,3686.56690283832,3817.156159122852,500.0,0,0,"[3983.8981990545126, 3686.56690283832, 3719.414885013353, 3878.7446495852214]","[500, 500, 500, 500]",550.888,315.156,3200,2304,6400,2304,33.55,92.0,"[3983.8981990545126, 3686.56690283832, 3719.414885013353, 3878.7446495852214]","[500, 500, 500, 500]"
3983.8981990545126,3686.56690283832,3817.156159122852,500.0,0,0,4,0,0,7200,2816,3600,2816,400,512,377.8888007202251,483.69766492188813,3600,512,7200,False,4,8,46f72_00000,2025-03-21_21-06-22,1742591182,1.0672457218170166,9.502704620361328,16608,Jacob,127.0.0.1,9.502704620361328,8,3600,2816,7200,2816,3983.8981990545126,3686.56690283832,3817.156159122852,500.0,0,0,"[3983.8981990545126, 3686.56690283832, 3719.414885013353, 3878.7446495852214]","[500, 500, 500, 500]",568.409,316.568,3600,2816,7200,2816,36.0,92.0,"[3983.8981990545126, 3686.56690283832, 3719.414885013353, 3878.7446495852214]","[500, 500, 500, 500]"
4011.5265903324944,3686.56690283832,3868.2826302086714,500.0,4,0,4,0,0,8000,3328,4000,3328,400,512,383.97290230296096,491.48531494779,4000,512,8000,False,8,9,46f72_00000,2025-03-21_21-06-23,1742591183,1.0581269264221191,10.560831546783447,16608,Jacob,127.0.0.1,10.560831546783447,9,4000,3328,8000,3328,4011.5265903324944,3686.56690283832,3868.2826302086714,500.0,4,0,"[3983.8981990545126, 3686.56690283832, 3719.414885013353, 3878.7446495852214, 4011.5265903324944, 3902.2750844564093, 3980.8189937459906, 3783.015736643068]","[500, 500, 500, 500, 500, 500, 500, 500]",568.124,316.215,4000,3328,8000,3328,38.7,92.0,"[3983.8981990545126, 3686.56690283832, 3719.414885013353, 3878.7446495852214, 4011.5265903324944, 3902.2750844564093, 3980.8189937459906, 3783.015736643068]","[500, 500, 500, 500, 500, 500, 500, 500]"
4011.5265903324944,3686.56690283832,3868.2826302086714,500.0,0,0,4,0,0,8800,3840,4400,3840,400,512,383.9814266796482,491.49622614994973,4400,512,8800,False,8,10,46f72_00000,2025-03-21_21-06-24,1742591184,1.0584497451782227,11.61928129196167,16608,Jacob,127.0.0.1,11.61928129196167,10,4400,3840,8800,3840,4011.5265903324944,3686.56690283832,3868.2826302086714,500.0,0,0,"[3983.8981990545126, 3686.56690283832, 3719.414885013353, 3878.7446495852214, 4011.5265903324944, 3902.2750844564093, 3980.8189937459906, 3783.015736643068]","[500, 500, 500, 500, 500, 500, 500, 500]",542.81,311.406,4400,3840,8800,3840,29.0,92.0,"[3983.8981990545126, 3686.56690283832, 3719.414885013353, 3878.7446495852214, 4011.5265903324944, 3902.2750844564093, 3980.8189937459906, 3783.015736643068]","[500, 500, 500, 500, 500, 500, 500, 500]"
