episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
nan,nan,nan,nan,0,0,4,0,0,400,0,200,0,200,0,184.31668355967327,0.0,200,0,400,False,0,1,66c5b_00000,2025-03-22_16-55-30,1742662530,1.0892200469970703,1.0892200469970703,15528,Jacob,127.0.0.1,1.0892200469970703,1,200,0,400,0,nan,nan,nan,nan,0,0,[],[],1085.089,292.683,200,0,400,0,17.95,91.0,[],[]
nan,nan,nan,nan,0,0,4,0,0,1600,0,800,0,600,0,563.409639463219,0.0,800,0,1600,False,0,2,66c5b_00000,2025-03-22_16-55-31,1742662531,1.0690762996673584,2.1582963466644287,15528,Jacob,127.0.0.1,2.1582963466644287,2,800,0,1600,0,nan,nan,nan,nan,0,0,[],[],537.508,294.791,800,0,1600,0,33.55,90.55,[],[]
nan,nan,nan,nan,0,0,4,0,0,3200,256,1600,256,800,256,526.2722932356359,168.40713383540344,1600,256,3200,False,0,3,66c5b_00000,2025-03-22_16-55-33,1742662533,1.5381197929382324,3.696416139602661,15528,Jacob,127.0.0.1,3.696416139602661,3,1600,256,3200,256,nan,nan,nan,nan,0,0,[],[],458.77,283.799,1600,256,3200,256,40.150000000000006,90.7,[],[]
4098.312040329392,3657.8968682093046,3902.202503914282,500.0,4,0,4,0,0,4000,768,2000,768,400,512,395.84365969350296,506.67988440768374,2000,512,4000,False,4,4,66c5b_00000,2025-03-22_16-55-34,1742662534,1.0260369777679443,4.7224531173706055,15528,Jacob,127.0.0.1,4.7224531173706055,4,2000,768,4000,768,4098.312040329392,3657.8968682093046,3902.202503914282,500.0,4,0,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046]","[500, 500, 500, 500]",468.066,282.824,2000,768,4000,768,24.0,91.0,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046]","[500, 500, 500, 500]"
4098.312040329392,3657.8968682093046,3902.202503914282,500.0,0,0,4,0,0,4800,1280,2400,1280,400,512,344.38990585387563,440.8190794929608,2400,512,4800,False,4,5,66c5b_00000,2025-03-22_16-55-35,1742662535,1.1810736656188965,5.903526782989502,15528,Jacob,127.0.0.1,5.903526782989502,5,2400,1280,4800,1280,4098.312040329392,3657.8968682093046,3902.202503914282,500.0,0,0,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046]","[500, 500, 500, 500]",437.466,278.251,2400,1280,4800,1280,27.75,91.35,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046]","[500, 500, 500, 500]"
4098.312040329392,3657.8968682093046,3902.202503914282,500.0,0,0,4,0,0,5600,1792,2800,1792,400,512,397.7526800603698,509.12343047727336,2800,512,5600,False,4,6,66c5b_00000,2025-03-22_16-55-42,1742662542,1.0222055912017822,6.925732374191284,15528,Jacob,127.0.0.1,6.925732374191284,6,2800,1792,5600,1792,4098.312040329392,3657.8968682093046,3902.202503914282,500.0,0,0,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046]","[500, 500, 500, 500]",469.775,279.899,2800,1792,5600,1792,12.679999999999998,91.7,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046]","[500, 500, 500, 500]"
4098.312040329392,3657.8968682093046,3902.202503914282,500.0,0,0,4,0,0,6400,2304,3200,2304,400,512,393.57609137547644,503.7773969606098,3200,512,6400,False,4,7,66c5b_00000,2025-03-22_16-55-43,1742662543,1.0363357067108154,7.9620680809021,15528,Jacob,127.0.0.1,7.9620680809021,7,3200,2304,6400,2304,4098.312040329392,3657.8968682093046,3902.202503914282,500.0,0,0,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046]","[500, 500, 500, 500]",506.934,282.886,3200,2304,6400,2304,28.0,92.0,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046]","[500, 500, 500, 500]"
4098.312040329392,3657.8968682093046,3902.202503914282,500.0,0,0,4,0,0,7600,3072,3800,3072,600,768,408.3286914812265,522.66072509597,3800,768,7600,False,4,8,66c5b_00000,2025-03-22_16-55-45,1742662545,1.4872660636901855,9.449334144592285,15528,Jacob,127.0.0.1,9.449334144592285,8,3800,3072,7600,3072,4098.312040329392,3657.8968682093046,3902.202503914282,500.0,0,0,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046]","[500, 500, 500, 500]",516.134,281.891,3800,3072,7600,3072,35.35,92.0,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046]","[500, 500, 500, 500]"
4197.425091054894,3657.8968682093046,3896.739367422844,500.0,4,0,4,0,0,8400,3584,4200,3584,400,512,305.26363288340417,390.7374500907573,4200,512,8400,False,8,9,66c5b_00000,2025-03-22_16-55-46,1742662546,1.3273797035217285,10.776713848114014,15528,Jacob,127.0.0.1,10.776713848114014,9,4200,3584,8400,3584,4197.425091054894,3657.8968682093046,3896.739367422844,500.0,4,0,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486]","[500, 500, 500, 500, 500, 500, 500, 500]",530.694,312.18,4200,3584,8400,3584,27.6,92.1,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486]","[500, 500, 500, 500, 500, 500, 500, 500]"
4197.425091054894,3657.8968682093046,3896.739367422844,500.0,0,0,4,0,0,9600,4352,4800,4352,600,768,401.8426192159272,514.3585525963867,4800,768,9600,False,8,10,66c5b_00000,2025-03-22_16-55-48,1742662548,1.5123353004455566,12.28904914855957,15528,Jacob,127.0.0.1,12.28904914855957,10,4800,4352,9600,4352,4197.425091054894,3657.8968682093046,3896.739367422844,500.0,0,0,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486]","[500, 500, 500, 500, 500, 500, 500, 500]",528.919,309.127,4800,4352,9600,4352,28.900000000000002,92.36666666666667,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486]","[500, 500, 500, 500, 500, 500, 500, 500]"
